
 ms_accelerometer_x, ms_accelerometer_y, ms_accelerometer_z,outcome
0.9670411,0.010498048,0.16015625,0
0.9367676,0.017822266,0.17333984,0
0.91210943,-0.026611328,0.18554689,0
0.9648438,0.020507813,0.18237305,0
0.91845703,0.01123047,0.18408205,0
0.8823242,-0.005126953,0.19506837,0
0.9016113,0.014892579,0.1977539,0
0.9321289,0.05126953,0.21484376,0
0.95336914,0.00390625,0.22705078,0
0.98999023,0.061523438,0.23681642,0
0.9301758,-0.08203125,0.19799806,0
0.8112793,0.029541016,0.21191408,0
0.72534186,-0.2055664,0.17163087,0
0.72534186,-0.2055664,0.17163087,1
0.7265625,-0.042724613,-0.0078125,1
0.7070313,-0.25732422,-0.08569336,1
